Id,ORIGIN,DEST,DELAYS,ON_TIME,FLIGHTS,DELAY_RATIO
2315,MCI,DEN,58.0,290.0,349,16.6189111747851
184,ATL,MCI,58.0,286.0,348,16.666666666666668
1230,DTW,BOS,41.0,306.0,348,11.781609195402298
447,BOS,DTW,50.0,296.0,348,14.367816091954023
2306,MCI,ATL,30.0,317.0,348,8.620689655172415
3276,PHX,SNA,63.0,281.0,346,18.208092485549134
3969,SNA,PHX,56.0,289.0,346,16.184971098265898
3942,SMF,LAX,120.0,221.0,346,34.68208092485549
2682,MSP,LAX,37.0,306.0,345,10.72463768115942
2148,LAX,MSP,49.0,295.0,345,14.202898550724637
1157,DFW,MIA,113.0,229.0,344,32.848837209302324
220,ATL,RIC,58.0,285.0,344,16.86046511627907
3421,RIC,ATL,48.0,296.0,344,13.953488372093023
3791,SJC,BUR,72.0,262.0,343,20.99125364431487
2171,LAX,SMF,100.0,237.0,342,29.239766081871345
3522,SAN,LAX,51.0,288.0,342,14.912280701754385
129,ATL,CMH,53.0,286.0,341,15.542521994134898
2533,MIA,DFW,72.0,264.0,341,21.114369501466275
767,CMH,ATL,35.0,306.0,341,10.263929618768328
3622,SEA,ATL,35.0,303.0,340,10.294117647058824
230,ATL,SEA,50.0,289.0,339,14.749262536873156
2833,OAK,SAN,90.0,242.0,338,26.62721893491124
534,BUR,SJC,73.0,260.0,338,21.597633136094675
3531,SAN,OAK,82.0,252.0,338,24.2603550295858
268,AUS,DFW,54.0,274.0,338,15.976331360946746
3764,SFO,SLC,116.0,218.0,338,34.319526627218934
2163,LAX,SAN,52.0,283.0,338,15.384615384615385
1103,DFW,AUS,101.0,229.0,337,29.97032640949555
1115,DFW,CLT,63.0,267.0,337,18.694362017804153
714,CLT,DFW,72.0,261.0,337,21.364985163204746
661,CLE,ATL,40.0,295.0,335,11.940298507462687
127,ATL,CLE,48.0,287.0,335,14.328358208955224
440,BOS,CLT,66.0,264.0,333,19.81981981981982
704,CLT,BOS,64.0,269.0,333,19.21921921921922
107,ATL,AUS,60.0,272.0,332,18.072289156626507
260,AUS,ATL,55.0,277.0,332,16.566265060240966
1383,EWR,DEN,82.0,244.0,332,24.698795180722893
2366,MCO,DFW,74.0,254.0,330,22.424242424242426
2820,OAK,LAS,86.0,242.0,330,26.060606060606062
1153,DFW,MCO,70.0,257.0,329,21.27659574468085
